Match ID,Innings,Player ID,Batsman,Commentary,R,B,M,4s,6s,SR
1178405,1,1070168,PP Shaw,c †Bairstow b Ahmed,4,5,9,0,0,80.00
1178405,1,28235,S Dhawan,c Kumar b Ahmed,7,8,18,1,0,87.50
1178405,1,232359,C Munro,c †Bairstow b Abhishek Sharma,40,24,29,4,3,166.66
1178405,1,642519,SS Iyer (c),c †Bairstow b Kumar,45,40,61,5,0,112.50
1178405,1,931581,RR Pant †,c Hooda b Ahmed,23,19,45,3,0,121.05
1178405,1,439952,CH Morris, b Rashid Khan,4,8,12,0,0,50.00
1178405,1,554691,AR Patel,not out,14,11,19,1,0,127.27
1178405,1,677081,KMA Paul,lbw b Kumar,7,4,9,0,1,175.00
1178405,1,550215,K Rabada,not out,2,2,3,0,0,100.00
1178405,2,219889,DA Warner,c Iyer b Rabada,51,47,86,3,1,108.51
1178405,2,297433,JM Bairstow †,c Rabada b Paul,41,31,51,5,1,132.25
1178405,2,277906,KS Williamson (c),c Rabada b Paul,3,8,10,0,0,37.50
1178405,2,642531,RK Bhui,c Patel b Paul,7,12,18,0,0,58.33
1178405,2,477021,V Shankar,c †Pant b Rabada,1,2,8,0,0,50.00
1178405,2,497121,DJ Hooda, b Morris,3,4,8,0,0,75.00
1178405,2,1070183,Abhishek Sharma,c Paul b Morris,2,3,9,0,0,66.66
1178405,2,793463,Rashid Khan,c Paul b Morris,0,1,1,0,0,0.00
1178405,2,326016,B Kumar,c & b Rabada,2,4,8,0,0,50.00
1178405,2,438362,Sandeep Sharma,not out,1,1,6,0,0,100.00
1178405,2,942645,KK Ahmed, b Rabada,0,1,1,0,0,0.00
1178404,1,326637,CA Lynn,c Thakur b Imran Tahir,82,51,68,7,6,160.78
1178404,1,230558,SP Narine,c du Plessis b Santner,2,7,24,0,0,28.57
1178404,1,604527,N Rana,c du Plessis b Imran Tahir,21,18,24,3,0,116.66
1178404,1,35582,RV Uthappa,c du Plessis b Imran Tahir,0,1,3,0,0,0.00
1178404,1,30045,KD Karthik (c) †,c du Plessis b Thakur,18,14,36,2,0,128.57
1178404,1,276298,AD Russell,c sub (DR Shorey) b Imran Tahir,10,4,3,1,1,250.00
1178404,1,1070173,Shubman Gill,c Jadeja b Thakur,15,20,28,0,0,75.00
1178404,1,32966,PP Chawla,not out,4,5,15,0,0,80.00
1178404,1,559235,Kuldeep Yadav,run out (†Dhoni/Thakur),0,0,1,0,0,-
1178404,2,8180,SR Watson,lbw b Gurney,6,7,17,1,0,85.71
1178404,2,44828,F du Plessis, b Narine,24,16,29,5,0,150.00
1178404,2,33335,SK Raina,not out,58,42,86,7,1,138.09
1178404,2,33141,AT Rayudu,c Uthappa b Chawla,5,11,21,0,0,45.45
1178404,2,290716,KM Jadhav,lbw b Chawla,20,12,9,3,1,166.66
1178404,2,28081,MS Dhoni (c) †,lbw b Narine,16,13,25,0,1,123.07
