Match ID,Innings,Player ID,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
1178405,1,326016,B Kumar,4,0,33,2,8.25,10,2,1,1,1
1178405,1,942645,KK Ahmed,4,0,30,3,7.50,13,2,2,1,0
1178405,1,438362,Sandeep Sharma,4,0,30,0,7.50,8,4,0,1,0
1178405,1,497121,DJ Hooda,1,0,8,0,8.00,1,1,0,0,0
1178405,1,1070183,Abhishek Sharma,1,0,10,1,10.00,1,0,1,0,0
1178405,1,477021,V Shankar,2,0,17,0,8.50,2,2,0,0,0
1178405,1,793463,Rashid Khan,4,0,22,1,5.50,11,3,0,0,0
1178405,2,236779,I Sharma,3,0,19,0,6.33,8,2,0,1,0
1178405,2,550215,K Rabada,3.5,0,22,4,5.73,11,2,0,1,0
1178405,2,439952,CH Morris,3,0,22,3,7.33,8,2,1,0,0
1178405,2,554691,AR Patel,2,0,23,0,11.50,2,2,1,0,0
1178405,2,677081,KMA Paul,4,0,17,3,4.25,10,0,0,1,1
1178405,2,31107,A Mishra,3,0,13,0,4.33,8,0,0,0,0
1178404,1,447261,DL Chahar,4,0,36,0,9.00,10,4,2,0,0
1178404,1,475281,SN Thakur,4,0,18,2,4.50,14,2,0,1,0
1178404,1,502714,MJ Santner,4,0,30,1,7.50,8,1,1,2,0
1178404,1,234675,RA Jadeja,4,0,49,0,12.25,6,5,3,1,0
1178404,1,40618,Imran Tahir,4,0,27,4,6.75,9,1,1,1,0
1178404,2,917159,M Prasidh Krishna,4,0,30,0,7.50,11,5,0,1,0
1178404,2,244639,HF Gurney,4,0,37,1,9.25,5,5,0,0,0
1178404,2,276298,AD Russell,1,0,16,0,16.00,2,4,0,0,0
1178404,2,230558,SP Narine,4,1,19,2,4.75,12,2,0,1,0
1178404,2,559235,Kuldeep Yadav,3,0,28,0,9.33,5,1,2,0,0
1178404,2,32966,PP Chawla,3.4,0,32,2,8.72,8,4,1,0,0
1178403,1,376116,UT Yadav,4,0,42,0,10.50,7,4,2,2,0
1178403,1,700167,NA Saini,4,0,23,0,5.75,13,3,0,1,0
1178403,1,940973,Mohammed Siraj,4,0,54,1,13.50,5,5,4,0,0
1178403,1,430246,YS Chahal,4,0,33,2,8.25,9,2,2,1,0
1178403,1,8917,MM Ali,4,0,19,1,4.75,10,1,0,1,0
1178403,2,662973,SM Curran,3,0,31,0,10.33,4,5,0,0,0
1178403,2,481896,Mohammed Shami,4,0,43,1,10.75,5,6,1,0,0
1178403,2,26421,R Ashwin,4,0,30,1,7.50,3,2,0,1,0
1178403,2,528067,M Ashwin,4,0,24,0,6.00,10,3,0,0,0
1178403,2,459508,AJ Tye,4,0,40,0,10.00,6,4,1,0,0
1178403,2,642525,SN Khan,0.2,0,6,0,18.00,0,1,0,0,0
1178402,1,424377,K Gowtham,3,0,39,0,13.00,3,4,2,0,0
1178402,1,277955,DS Kulkarni,4,0,38,1,9.50,6,4,1,0,0
1178402,1,669855,JC Archer,4,0,39,3,9.75,7,3,2,1,0
1178402,1,390484,JD Unadkat,4,0,36,1,9.00,6,3,1,2,0
1178402,1,344580,S Gopal,4,0,21,0,5.25,10,0,1,0,0
1178402,1,403902,LS Livingstone,1,0,13,0,13.00,3,0,2,0,0
1178402,2,272477,JP Behrendorff,3,0,31,0,10.33,8,5,1,1,0
1178402,2,670031,AS Joseph,3,0,53,0,17.66,5,8,3,0,0
1178402,2,1064812,RD Chahar,4,0,34,1,8.50,7,0,3,0,0
1178402,2,625383,JJ Bumrah,4,0,23,2,5.75,12,3,0,0,0
1178402,2,471342,KH Pandya,4,0,34,3,8.50,8,2,2,1,0
1178402,2,625371,HH Pandya,1.3,0,11,0,7.33,2,1,0,0,0
