Season,Team 1 ID,Team 1,Team 2 ID,Team 2,Winner ID,Winner,Margin,Ground,Match Date,Match Link
2016,335978,Mum Indians,968721,Supergiants,968721,Supergiants,9 wickets,Mumbai,"Apr 9, 2016",/ci/engine/match/980901.html
2016,335971,KKR,335975,Daredevils,335971,KKR,9 wickets,Kolkata,"Apr 10, 2016",/ci/engine/match/980903.html
2016,335973,Kings XI,968725,Guj Lions,968725,Guj Lions,5 wickets,Mohali,"Apr 11, 2016",/ci/engine/match/980905.html
2016,335970,RCB,628333,Sunrisers,335970,RCB,45 runs,Bengaluru,"Apr 12, 2016",/ci/engine/match/980907.html
2016,335971,KKR,335978,Mum Indians,335978,Mum Indians,6 wickets,Kolkata,"Apr 13, 2016",/ci/engine/match/980909.html
2016,968725,Guj Lions,968721,Supergiants,968725,Guj Lions,7 wickets,Rajkot,"Apr 14, 2016",/ci/engine/match/980911.html
2016,335975,Daredevils,335973,Kings XI,335975,Daredevils,8 wickets,Delhi,"Apr 15, 2016",/ci/engine/match/980913.html
2016,628333,Sunrisers,335971,KKR,335971,KKR,8 wickets,Hyderabad (Deccan),"Apr 16, 2016",/ci/engine/match/980915.html
2016,335978,Mum Indians,968725,Guj Lions,968725,Guj Lions,3 wickets,Mumbai,"Apr 16, 2016",/ci/engine/match/980917.html
2016,335973,Kings XI,968721,Supergiants,335973,Kings XI,6 wickets,Mohali,"Apr 17, 2016",/ci/engine/match/980919.html
2016,335970,RCB,335975,Daredevils,335975,Daredevils,7 wickets,Bengaluru,"Apr 17, 2016",/ci/engine/match/980921.html
2016,628333,Sunrisers,335978,Mum Indians,628333,Sunrisers,7 wickets,Hyderabad (Deccan),"Apr 18, 2016",/ci/engine/match/980923.html
2016,335973,Kings XI,335971,KKR,335971,KKR,6 wickets,Mohali,"Apr 19, 2016",/ci/engine/match/980925.html
2016,335978,Mum Indians,335970,RCB,335978,Mum Indians,6 wickets,Mumbai,"Apr 20, 2016",/ci/engine/match/980927.html
2016,968725,Guj Lions,628333,Sunrisers,628333,Sunrisers,10 wickets,Rajkot,"Apr 21, 2016",/ci/engine/match/980929.html
2016,968721,Supergiants,335970,RCB,335970,RCB,13 runs,Pune,"Apr 22, 2016",/ci/engine/match/980931.html
2016,335975,Daredevils,335978,Mum Indians,335975,Daredevils,10 runs,Delhi,"Apr 23, 2016",/ci/engine/match/980933.html
2016,628333,Sunrisers,335973,Kings XI,628333,Sunrisers,5 wickets,Hyderabad (Deccan),"Apr 23, 2016",/ci/engine/match/980935.html
2016,968725,Guj Lions,335970,RCB,968725,Guj Lions,6 wickets,Rajkot,"Apr 24, 2016",/ci/engine/match/980937.html
2016,968721,Supergiants,335971,KKR,335971,KKR,2 wickets,Pune,"Apr 24, 2016",/ci/engine/match/980939.html
2016,335973,Kings XI,335978,Mum Indians,335978,Mum Indians,25 runs,Mohali,"Apr 25, 2016",/ci/engine/match/980941.html
2016,628333,Sunrisers,968721,Supergiants,968721,Supergiants,34 runs,Hyderabad (Deccan),"Apr 26, 2016",/ci/engine/match/980943.html
2016,335975,Daredevils,968725,Guj Lions,968725,Guj Lions,1 run,Delhi,"Apr 27, 2016",/ci/engine/match/980945.html
2016,335978,Mum Indians,335971,KKR,335978,Mum Indians,6 wickets,Mumbai,"Apr 28, 2016",/ci/engine/match/980947.html
2016,968721,Supergiants,968725,Guj Lions,968725,Guj Lions,3 wickets,Pune,"Apr 29, 2016",/ci/engine/match/980949.html
2016,335975,Daredevils,335971,KKR,335975,Daredevils,27 runs,Delhi,"Apr 30, 2016",/ci/engine/match/980951.html
2016,628333,Sunrisers,335970,RCB,628333,Sunrisers,15 runs,Hyderabad (Deccan),"Apr 30, 2016",/ci/engine/match/980953.html
2016,968725,Guj Lions,335973,Kings XI,335973,Kings XI,23 runs,Rajkot,"May 1, 2016",/ci/engine/match/980955.html
2016,968721,Supergiants,335978,Mum Indians,335978,Mum Indians,8 wickets,Pune,"May 1, 2016",/ci/engine/match/980957.html
2016,335970,RCB,335971,KKR,335971,KKR,5 wickets,Bengaluru,"May 2, 2016",/ci/engine/match/980959.html
2016,968725,Guj Lions,335975,Daredevils,335975,Daredevils,8 wickets,Rajkot,"May 3, 2016",/ci/engine/match/980961.html
2016,335971,KKR,335973,Kings XI,335971,KKR,7 runs,Kolkata,"May 4, 2016",/ci/engine/match/980963.html
2016,335975,Daredevils,968721,Supergiants,968721,Supergiants,7 wickets,Delhi,"May 5, 2016",/ci/engine/match/980965.html
2016,628333,Sunrisers,968725,Guj Lions,628333,Sunrisers,5 wickets,Hyderabad (Deccan),"May 6, 2016",/ci/engine/match/980967.html
2016,335970,RCB,968721,Supergiants,335970,RCB,7 wickets,Bengaluru,"May 7, 2016",/ci/engine/match/980969.html
2016,335973,Kings XI,335975,Daredevils,335973,Kings XI,9 runs,Mohali,"May 7, 2016",/ci/engine/match/980971.html
2016,335978,Mum Indians,628333,Sunrisers,628333,Sunrisers,85 runs,Visakhapatnam,"May 8, 2016",/ci/engine/match/980973.html
2016,335971,KKR,968725,Guj Lions,968725,Guj Lions,5 wickets,Kolkata,"May 8, 2016",/ci/engine/match/980975.html
2016,335973,Kings XI,335970,RCB,335970,RCB,1 run,Mohali,"May 9, 2016",/ci/engine/match/980977.html
2016,968721,Supergiants,628333,Sunrisers,628333,Sunrisers,4 runs,Visakhapatnam,"May 10, 2016",/ci/engine/match/980979.html
2016,335970,RCB,335978,Mum Indians,335978,Mum Indians,6 wickets,Bengaluru,"May 11, 2016",/ci/engine/match/980981.html
2016,628333,Sunrisers,335975,Daredevils,335975,Daredevils,7 wickets,Hyderabad (Deccan),"May 12, 2016",/ci/engine/match/980983.html
2016,335978,Mum Indians,335973,Kings XI,335973,Kings XI,7 wickets,Visakhapatnam,"May 13, 2016",/ci/engine/match/980985.html
2016,335970,RCB,968725,Guj Lions,335970,RCB,144 runs,Bengaluru,"May 14, 2016",/ci/engine/match/980987.html
2016,335971,KKR,968721,Supergiants,335971,KKR,8 wickets,Kolkata,"May 14, 2016",/ci/engine/match/980989.html
2016,335973,Kings XI,628333,Sunrisers,628333,Sunrisers,7 wickets,Mohali,"May 15, 2016",/ci/engine/match/980991.html
2016,335978,Mum Indians,335975,Daredevils,335978,Mum Indians,80 runs,Visakhapatnam,"May 15, 2016",/ci/engine/match/980993.html
2016,335971,KKR,335970,RCB,335970,RCB,9 wickets,Kolkata,"May 16, 2016",/ci/engine/match/980995.html
2016,968721,Supergiants,335975,Daredevils,968721,Supergiants,19 runs,Visakhapatnam,"May 17, 2016",/ci/engine/match/980997.html
2016,335970,RCB,335973,Kings XI,335970,RCB,82 runs,Bengaluru,"May 18, 2016",/ci/engine/match/980999.html
2016,968725,Guj Lions,335971,KKR,968725,Guj Lions,6 wickets,Kanpur,"May 19, 2016",/ci/engine/match/981001.html
2016,335975,Daredevils,628333,Sunrisers,335975,Daredevils,6 wickets,Raipur,"May 20, 2016",/ci/engine/match/981003.html
2016,968721,Supergiants,335973,Kings XI,968721,Supergiants,4 wickets,Visakhapatnam,"May 21, 2016",/ci/engine/match/981005.html
2016,968725,Guj Lions,335978,Mum Indians,968725,Guj Lions,6 wickets,Kanpur,"May 21, 2016",/ci/engine/match/981007.html
2016,335971,KKR,628333,Sunrisers,335971,KKR,22 runs,Kolkata,"May 22, 2016",/ci/engine/match/981009.html
2016,335975,Daredevils,335970,RCB,335970,RCB,6 wickets,Raipur,"May 22, 2016",/ci/engine/match/981011.html
2016,968725,Guj Lions,335970,RCB,335970,RCB,4 wickets,Bengaluru,"May 24, 2016",/ci/engine/match/981013.html
2016,628333,Sunrisers,335971,KKR,628333,Sunrisers,22 runs,Delhi,"May 25, 2016",/ci/engine/match/981015.html
2016,968725,Guj Lions,628333,Sunrisers,628333,Sunrisers,4 wickets,Delhi,"May 27, 2016",/ci/engine/match/981017.html
2016,335970,RCB,628333,Sunrisers,628333,Sunrisers,8 runs,Bengaluru,"May 29, 2016",/ci/engine/match/981019.html
