Match ID,Innings,Team ID,Team,Total,Wickets,Overs,RR,LB,NB,W,B,PEN
1178405,1,335975,Delhi Capitals,155,7,20.0,7.75,5.0,1.0,3.0,,
1178405,2,628333,Sunrisers Hyderabad,116,10,18.5,6.15,,1.0,4.0,,
1178404,1,335971,Kolkata Knight Riders,161,8,20.0,8.05,1.0,,8.0,,
1178404,2,335974,Chennai Super Kings,162,5,19.4,8.23,,,2.0,,
1178403,1,335973,Kings XI Punjab,173,4,20.0,8.65,2.0,,5.0,,
1178403,2,335970,Royal Challengers Bangalore,174,2,19.2,9.0,,,1.0,,
1178402,1,335978,Mumbai Indians,187,5,20.0,9.35,1.0,,3.0,,
1178402,2,335977,Rajasthan Royals,188,6,19.3,9.64,2.0,,2.0,,
1178401,1,335971,Kolkata Knight Riders,178,7,20.0,8.9,1.0,1.0,3.0,,
1178401,2,335975,Delhi Capitals,180,3,18.5,9.55,1.0,,2.0,,
1178400,1,335977,Rajasthan Royals,151,7,20.0,7.55,1.0,,6.0,,
1178400,2,335974,Chennai Super Kings,155,6,20.0,7.75,5.0,1.0,3.0,,
1178399,1,335973,Kings XI Punjab,197,4,20.0,9.85,1.0,,6.0,,
1178399,2,335978,Mumbai Indians,198,7,20.0,9.9,,1.0,11.0,,
1178398,1,335971,Kolkata Knight Riders,108,9,20.0,5.4,1.0,,3.0,,
1178398,2,335974,Chennai Super Kings,111,3,17.2,6.4,,2.0,6.0,,
1178397,1,628333,Sunrisers Hyderabad,150,4,20.0,7.5,5.0,,3.0,,
1178397,2,335973,Kings XI Punjab,151,4,19.5,7.61,1.0,,,,
1178396,1,335977,Rajasthan Royals,139,3,20.0,6.95,5.0,2.0,4.0,,
1178396,2,335971,Kolkata Knight Riders,140,2,13.5,10.12,8.0,,3.0,,
1178395,1,335970,Royal Challengers Bangalore,149,8,20.0,7.45,1.0,1.0,3.0,,
1178395,2,335975,Delhi Capitals,152,6,18.5,8.07,5.0,1.0,6.0,,
1178394,1,335978,Mumbai Indians,136,7,20.0,6.8,,1.0,5.0,,
1178394,2,628333,Sunrisers Hyderabad,96,10,17.4,5.43,2.0,,3.0,1.0,
1178393,1,335974,Chennai Super Kings,160,3,20.0,8.0,,,5.0,,
1178393,2,335973,Kings XI Punjab,138,5,20.0,6.9,,2.0,2.0,,
1175372,1,335970,Royal Challengers Bangalore,205,3,20.0,10.25,1.0,,4.0,,
1175372,2,335971,Kolkata Knight Riders,206,5,19.1,10.74,2.0,3.0,8.0,,
1175371,1,335975,Delhi Capitals,129,8,20.0,6.45,3.0,,2.0,,
1175371,2,628333,Sunrisers Hyderabad,131,5,18.3,7.08,4.0,,3.0,4.0,
1175370,1,335978,Mumbai Indians,170,5,20.0,8.5,1.0,1.0,4.0,,
1175370,2,335974,Chennai Super Kings,133,8,20.0,6.65,7.0,2.0,5.0,,
1175369,1,335970,Royal Challengers Bangalore,158,4,20.0,7.9,2.0,1.0,1.0,1.0,
1175369,2,335977,Rajasthan Royals,164,3,19.5,8.26,1.0,,5.0,4.0,
1175368,1,335973,Kings XI Punjab,166,9,20.0,8.3,,,8.0,1.0,
1175368,2,335975,Delhi Capitals,152,10,19.2,7.86,6.0,,5.0,,
1175367,1,335974,Chennai Super Kings,175,5,20.0,8.75,1.0,1.0,5.0,,
1175367,2,335977,Rajasthan Royals,167,8,20.0,8.35,2.0,1.0,4.0,,
1175366,1,628333,Sunrisers Hyderabad,231,2,20.0,11.55,1.0,,1.0,,
1175366,2,335970,Royal Challengers Bangalore,113,10,19.5,5.69,,1.0,3.0,4.0,
1175365,1,335971,Kolkata Knight Riders,185,8,20.0,9.25,4.0,1.0,3.0,,
1175365,2,335975,Delhi Capitals,185,6,20.0,9.25,1.0,,3.0,,
1175364,1,335978,Mumbai Indians,176,7,20.0,8.8,3.0,,4.0,,
